ring,rastrigin,1,8388608,100,500,42,18827.894531,38.740940,35524.375000,37375.710938,91766.718750,84.735428
fc,rastrigin,1,8388608,100,500,42,19074.613281,38.829536,35473.101562,31851.703125,86438.250000,60.849743
ring,rastrigin,2,4194304,100,500,42,9406.795898,23.053368,17717.160156,26076.660156,53223.671875,89.206017
fc,rastrigin,2,4194304,100,500,42,9323.455078,22.977795,17715.308594,25538.314453,52600.054688,77.807976
ring,rastrigin,4,2097152,100,500,42,4860.820312,14.376502,8841.480469,9539.425781,23256.103516,39.075169
fc,rastrigin,4,2097152,100,500,42,5088.441406,14.577435,8840.656250,9001.673828,22945.349609,72.93084
ring,rastrigin,8,1048576,100,500,42,2663.598877,9.352509,4412.127441,5705.646973,12790.726562,154.19708
fc,rastrigin,8,1048576,100,500,42,2581.086182,9.320773,4413.346680,26783.882812,33787.636719,98.035332
ring,rastrigin,16,524288,100,500,42,1269.592651,6.483778,2202.307129,3246.764160,6725.147461,108.54451
fc,rastrigin,16,524288,100,500,42,1348.152710,6.554338,2203.345215,33827.898438,37385.949219,88.635788
